o4,0,176,30,22
w3,134,0,28,24
w14,31,176,29,22
w11,0,152,30,23
w6,134,25,28,24
m6,134,50,27,24
m11,134,75,27,24
w10,56,124,29,24
c12,31,152,28,23
w12,60,152,28,23
o5,121,176,28,22
m17,89,152,27,23
y5,86,124,29,24
c14,61,176,29,22
m18,117,152,27,23
y8,150,176,28,22
m21,91,176,29,22
w4,190,0,28,21
c6,52,95,21,28
m9,74,95,21,28
w8,28,64,23,29
c3,52,64,23,29
w1,93,0,23,29
c11,163,118,21,21
m19,163,140,20,21
y1,0,0,29,31
c2,59,31,28,30
m1,30,0,28,31
o1,0,64,27,30
w5,28,32,30,30
c1,0,32,27,31
o2,0,95,28,28
m2,59,0,33,30
w7,190,22,16,21
m16,190,108,15,20
c5,190,44,16,21
w2,117,0,16,28
y3,117,29,16,28
m5,117,58,16,28
y4,19,124,17,27
m15,0,124,18,27
c9,37,124,18,26
m13,190,66,21,20
m4,163,24,21,23
w13,145,152,16,23
c7,117,87,15,23
y6,116,124,16,23
m7,163,48,15,23
c4,76,64,16,29
m3,93,30,15,29
m10,96,95,20,28
m8,29,95,22,28
w9,93,60,21,28
m20,190,129,21,17
y7,190,165,20,17
sprite65,190,147,21,17
c13,163,162,21,11
m22,0,199,20,10
o6,190,183,21,10
m12,163,72,18,22
c8,163,95,18,22
m14,134,100,27,23
c10,134,124,26,23
y2,163,0,26,23
o3,190,87,18,20
